dataset,method,k,macro_f1,baseline_macro_f1,threshold_90_percent
RT-IoT2022,GWO,13,0.47724231465751293,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,14,0.5609989022844072,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,15,0.6987072504340986,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,16,0.6891385372648783,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,17,0.7204297700817154,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,18,0.8247181564808224,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,19,0.8457324033444121,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,20,0.8456064648901257,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,21,0.8459675878413457,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,22,0.846282604286135,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,23,0.8453987349981701,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,24,0.8502804950357579,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,25,0.8496492934626505,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,26,0.850619390051803,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,27,0.8519278228960635,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,28,0.8521735486369199,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,29,0.8531552607678203,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,30,0.8478249865885985,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,31,0.8488891157252709,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,32,0.8504577084178958,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,33,0.8855137556338745,0.9806186572560694,0.8825567915304625
